,index,current_price,market_cap,total_volume,date
0,aed,107793.66291619513,2053505605017.9194,117436517357.11824,27-05-2022
1,ars,3504300.0230974182,66758096389113.59,3817782783826.3423,27-05-2022
2,aud,41327.10607101979,787295297887.673,45024088412.34035,27-05-2022
3,bch,161.88843646048667,3084029270.975359,176370425.3476327,27-05-2022
4,bdt,2582180.804980025,49191414529800.76,2813173916902.8145,27-05-2022
5,bhd,11064.00072482974,210772942376.25082,12053748597.176807,27-05-2022
6,bmd,29346.781442431617,559066076343.6685,31972044691.709656,27-05-2022
7,bnb,95.54273380121549,1820121276.8144462,104089661.79316303,27-05-2022
8,brl,139975.34344596602,2666577464336.3936,152497061566.0475,27-05-2022
9,btc,1.0,19050337.0,1089719.5724304137,27-05-2022
10,cad,37481.56252436638,714036397375.7502,40834535620.02804,27-05-2022
11,chf,28128.156343034596,535850857523.4967,30644405535.886356,27-05-2022
12,clp,24176465.48790404,460569815013441.4,26339209857924.273,27-05-2022
13,cny,197765.02546240218,3767490381872.343,215456411972.9619,27-05-2022
14,czk,675404.4361849861,12866682120618.98,735823819761.8204,27-05-2022
15,dkk,203405.47685563753,3874942881745.5947,221601438962.7085,27-05-2022
16,dot,3190.006339228052,60770695794.43071,3475373456.019633,27-05-2022
17,eos,23580.89919848173,449224076494.1069,25690366233.977345,27-05-2022
18,eth,16.23212346361286,309227422.2074322,17684194.01759712,27-05-2022
19,eur,27342.51365703925,520884099593.70013,29788481927.444588,27-05-2022
20,gbp,23258.703591854814,443086141607.9446,25339348104.28037,27-05-2022
21,hkd,230359.02827143896,4388417119563.4404,250966163409.80936,27-05-2022
22,huf,10727759.037356045,204367424916428.34,11687427872016.082,27-05-2022
23,idr,429049944.6883503,8173546036144433.0,467431293392795.25,27-05-2022
24,ils,98285.89266447647,1872379377604.1047,107078214317.89853,27-05-2022
25,inr,2278200.9147494654,43400495179685.58,2482001019633.056,27-05-2022
26,jpy,3728119.737406818,71021937373951.39,4061624648489.5396,27-05-2022
27,krw,36973730.147105254,704362019449414.6,40281274285610.83,27-05-2022
28,kwd,8972.51430499048,170929421247.38943,9775164916.087996,27-05-2022
29,lkr,10569569.17380608,201353854705817.4,11515086881331.42,27-05-2022
30,ltc,459.32425935753656,8750281933.036476,500413845.2788634,27-05-2022
31,mmk,54360015.28991095,1035576610597956.2,59222877360517.99,27-05-2022
32,mxn,580124.9745453798,11051576267205.906,632020981562.3643,27-05-2022
33,myr,129067.14478381375,2458772603759.445,140613052554.13852,27-05-2022
34,ngn,12185192.36752271,232132021011135.47,13275238230664.219,27-05-2022
35,nok,279738.04011360055,5329103935883.609,304762453696.2592,27-05-2022
36,nzd,45262.03991394672,862257113668.136,49311028052.78347,27-05-2022
37,php,1536303.8617773836,29267106301260.586,1673736379750.7722,27-05-2022
38,pkr,5944322.524293887,113241347324489.23,6476081398618.723,27-05-2022
39,pln,125962.95962995949,2399636830468.1235,137231177554.82864,27-05-2022
40,rub,1785018.1866633722,34005198007066.14,1944699842177.5515,27-05-2022
41,sar,110096.73963023502,2097379992557.2322,119945619480.43504,27-05-2022
42,sek,289354.4521502187,5512299825912.041,315239117244.92725,27-05-2022
43,sgd,40276.54998894364,767281850486.7227,43879553156.466545,27-05-2022
44,thb,1004306.669700584,19132380509143.812,1094148528377.3799,27-05-2022
45,try,480263.0129835371,9149172245971.758,523225708584.29706,27-05-2022
46,twd,860673.5434156384,16396121049052.043,937666471160.9634,27-05-2022
47,uah,863221.2255529998,16444655252337.658,940442060276.7842,27-05-2022
48,usd,29346.781442431617,559066076343.6685,31972044691.709656,27-05-2022
49,vef,2938.493225830676,55979286224.29148,3201360834.9808855,27-05-2022
50,vnd,681138797.2788378,1.2975923631936544e+16,742071157294581.0,27-05-2022
51,xag,1332.279314567224,25380369920.634624,1451460490.5052986,27-05-2022
52,xau,15.840218751366901,301761505.36725867,17257230.842797216,27-05-2022
53,xdr,21274.303577499053,405282652591.66254,23177430414.27168,27-05-2022
54,xlm,233761.737422572,4453239875605.508,254673267347.81113,27-05-2022
55,xrp,74395.59528007901,1417261161401.1145,81050772188.66374,27-05-2022
56,yfi,3.762015776543231,71667668.34246525,4098552.9119949336,27-05-2022
57,zar,461035.58871808543,8782883334072.925,502278264343.1835,27-05-2022
58,bits,1000241.3806817844,19054935383333.273,1089719572430.4137,27-05-2022
59,link,4432.037824027295,84431814144.46666,4828512852.870014,27-05-2022
60,sats,100024138.06817845,1905493538333327.5,108971957243041.36,27-05-2022
