,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
0,499,covergirl,CoverGirl truBLEND Bronzer,13.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/60f9f4f29be5221ff70cf20fabc03564_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/covergirl-trublend-bronzer_112764.html,https://well.ca,"CoverGirl's New truBLEND Bronzer has a marble-baked formula that blends instantly with skin making bronzer lines a thing of the past.Features:Baked blend of colors for the perfect glowBaked to get the perfect bronze for every skin toneBlends instantly, no bronzer linesSuitable for sensitive skin How to Apply: Step 1: Lightly dip brush into bronzer, being careful to tap or blow off excess powder. Step 2: Next, sweep the bronzer over cheeks and temples to create a warm, even, sun-kissed glow. ",,,bronzer,[],2016-10-01T18:36:19.612Z,2017-12-23T21:08:32.604Z,https://makeup-api.herokuapp.com/api/v1/products/499.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/499/original/open-uri20171223-4-1oytpeg?1514063312,[]
1,486,covergirl,CoverGirl Clean Glow Bronzer,8.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/4e90929a9c24a51c3db3988b205f3b43_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-clean-glow-bronzer_78622.html,https://well.ca,"Flaunt the coveted beach-bronze glow in one simple step. This versatile 
3-in-1 multi-shade compact lets you customize your color to create a 
radiant effect. Use just one color or all three!Features: Beautiful bronze glow in just one stepBlendable, multi-shade compactClean and natural lookHow to Apply: Dip powder brush in bronzer and tap off any excess.
Sweep bronzer on your cheeks and temples.
Using a lighter touch, sweep bronzer where the sun naturally hits your face, including your nose, chin, and forehead.
                            ",5.0,,bronzer,[],2016-10-01T18:36:01.504Z,2017-12-23T21:08:49.712Z,https://makeup-api.herokuapp.com/api/v1/products/486.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/486/original/data?1514063329,"[{'hex_value': '#A9745E', 'colour_name': None}]"
2,473,covergirl,CoverGirl truBLEND Blush in Light Rose,13.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/0b8787d62ced45700c0693b869645542_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/covergirl-trublend-blush-in-light_112758.html,https://well.ca,"Never stop blushing with CoverGirl New truBLEND blush! Features:New marbled baked formulaUltra-blendable and delivers a beautiful, multi-toned result Designed to fit light, medium and deep skin tones alikeHow to Apply: Step 1: Lightly dip brush into blush, then tap or blow off excess powder. Step 2: Next, sweep the blush over and under your cheekbone to create a beautiful, rosy looking flush. ",,powder,blush,[],2016-10-01T18:35:34.299Z,2017-12-23T21:08:47.473Z,https://makeup-api.herokuapp.com/api/v1/products/473.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/473/original/open-uri20171223-4-11ptefh?1514063327,[]
3,465,covergirl,CoverGirl truBLEND Blush in Medium Rose,13.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/d8969d390fd94976aee71df780f512f2_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/covergirl-trublend-blush-in-medium_112759.html,https://well.ca,"Never stop blushing with CoverGirl's New truBLEND blush! Features:New marbled baked formulaUltra-blendable and delivers a beautiful, multi-toned result Designed to fit light, medium and deep skin tones alikeHow to Apply: Step 1: Lightly dip brush into blush, then tap or blow off excess powder. Step 2: Next, sweep the blush over and under your cheekbone to create a beautiful, rosy looking flush. ",5.0,powder,blush,[],2016-10-01T18:35:25.098Z,2017-12-23T21:08:46.771Z,https://makeup-api.herokuapp.com/api/v1/products/465.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/465/original/open-uri20171223-4-edcwc3?1514063326,[]
4,458,covergirl,CoverGirl Clean Glow Blush ,8.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/bb0b0c2057205b8e39823c5c7fc6af45_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-clean-glow-blush_78621.html,https://well.ca,"Complete your Clean® look with a flush of lightweight, blendable color. 
This versatile 3-in-1 multi-shade compact lets you customize your color 
to create a radiant effect. Use just one color or all three!Features: 3-in-1 multi-shade compactLightweight, blendable flush of colorClean and natural lookHow to Apply:  Begin with the contour, or darkest, shade in your palette and apply to the hollow space below your cheekbones.
Apply the medium shade to the apples of your cheeks and sweep upwards toward the hairline.
For a youthful glow, highlight the tops of your cheeks with the lightest shade.
                            ",5.0,powder,blush,[],2016-10-01T18:35:15.008Z,2017-12-23T21:08:40.969Z,https://makeup-api.herokuapp.com/api/v1/products/458.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/458/original/data?1514063320,[]
5,457,covergirl,CoverGirl Clean Glow Blush,8.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/48492123aba0c6d096945d57a070361d_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-clean-glow-blush_78620.html,https://well.ca,"Complete your Clean® look with a flush of lightweight, blendable color. 
This versatile 3-in-1 multi-shade compact lets you customize your color 
to create a radiant effect. Use just one color or all three!Features: 3-in-1 multi-shade compactLightweight, blendable flush of colorClean and natural lookHow to Apply:  Begin with the contour, or darkest, shade in your palette and apply to the hollow space below your cheekbones.
Apply the medium shade to the apples of your cheeks and sweep upwards toward the hairline.
For a youthful glow, highlight the tops of your cheeks with the lightest shade.
                            ",,powder,blush,[],2016-10-01T18:35:14.369Z,2017-12-23T20:51:33.617Z,https://makeup-api.herokuapp.com/api/v1/products/457.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/457/original/data?1514062293,[]
6,455,covergirl,CoverGirl Cheekers Blush ,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/d095a226cf2698dba1eba4c6e2ce9896_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-cheekers-blush_74131.html,https://well.ca,"Blush's basic rules—it has to be easy, and it has to look natural. 
That's Cheekers. Each portable mini-compact gives you a sheer blush that
 goes on to stay true, stay for hours. It's the way to glow!Features: Stays for hoursEasy and naturalDermatologically-tested",5.0,powder,blush,[],2016-10-01T18:35:11.890Z,2017-12-23T20:51:21.297Z,https://makeup-api.herokuapp.com/api/v1/products/455.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/455/original/data?1514062281,[]
7,449,covergirl,CoverGirl Cheekers Blush,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/1d1668b02148a8823eb19c1ce4157a4e_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-cheekers-blush_74128.html,https://well.ca,"Blush's basic rules—it has to be easy, and it has to look natural. 
That's Cheekers. Each portable mini-compact gives you a sheer blush that
 goes on to stay true, stay for hours. It's the way to glow!Features: Stays for hoursEasy and naturalDermatologically-tested",5.0,powder,blush,[],2016-10-01T18:35:02.504Z,2017-12-23T21:08:44.000Z,https://makeup-api.herokuapp.com/api/v1/products/449.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/449/original/data?1514063323,[]
8,443,covergirl,CoverGirl Instant Cheekbones Contouring Blush,7.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/5361038d5de79bedaca6c64b48271161_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-instant-cheekbones_33230.html,https://well.ca,"Want great bone structure? Instant Cheekbones Contouring Blush lets you 
create them instantly and easily. Each compact contains three expertly 
coordinated shades that add natural-looking contour, so you can look 
like you were born with great cheekbones, anytime!Features:​3 Complementary skin-flushed shades contour your cheekbonesLightweightDermatologically testedBlendable",3.3,powder,blush,[],2016-10-01T18:34:52.147Z,2017-12-23T21:08:45.693Z,https://makeup-api.herokuapp.com/api/v1/products/443.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/443/original/data?1514063325,[]
9,406,covergirl,CoverGirl Lip Perfection Lipliner ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/9b00f1bed71b9d46399663a8ef364a9a_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-lip-perfection-lipliner_74475.html,https://well.ca,"High conditioning lip liner. Created to work perfectly with Lip 
Perfection Lipstick, CoverGirl's lip liner formula contains over 60% skin 
conditioners, so you can line and define with conditioning colour.Features: Shades pair perfectly with Lip Perfection LipstickContains Vitamin EPencil requires sharpener",,,lip_liner,[],2016-10-01T18:33:48.833Z,2017-12-23T21:08:39.578Z,https://makeup-api.herokuapp.com/api/v1/products/406.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/406/original/data?1514063319,[]
