,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
0,504,dr. hauschka,Dr. Hauschka Bronzing Powder Compact,44.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/a94849792814b6d5a22d5cf8084d0211_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-bronzing-powder-compact_34473.html,https://well.ca,"Dr. Hauschka Bronzing Powder Compact blends easily with any skin tone, an ultra-fine bronzer for a sun-kissed glow. Gentle and nurturing enough for the most sensitive skin.  Features:Silk, anthyllis, witch hazel and sage contour and smooth the complexion for a flawless look.Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGDermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditionsIngredients: Talc, Diatomaceous Earth (Solum Diatomeae), Daucus Carota Sativa (Carrot) Root Extract, Silk (Serica) Powder , Kaolin, Anthyllis Vulneraria Extract, Magnesium Stearate, Simmondsia Chinensis (Jojoba) Seed Oil, Mica, Hamamelis Virginiana (Witch Hazel) Bark/Leaf Extract, Silica, Salvia Officinalis (Sage) Leaf Extract, Camellia Sinensis (Black Tea) Leaf Extract, Fragrance (Essential Oil), Limonene*, Linalool*, Citronellol*, Geraniol*, Coumarin*, Citral*, Benzyl Benzoate*, Eugenol*, Tocopherol, Ascorbyl Dipalmitate, Iron Oxides (CI 77491, CI 77942, CI 77499), Titanium Dioxide (CI 77891)",,,bronzer,[],2016-10-01T18:36:25.096Z,2017-12-23T21:08:51.739Z,https://makeup-api.herokuapp.com/api/v1/products/504.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/504/original/data?1514063331,"[{'hex_value': '#D7A989', 'colour_name': None}]"
1,483,dr. hauschka,Dr. Hauschka Translucent Bronzing Tint,45.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/08fe5abc37bb3d483909774d43c438e4_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-translucent-bronzing_93615.html?cat=328,https://well.ca,"Dr. Hauschka Translucent Bronzing Tint is ideal for use alone or with all 
Dr.Hauschka moisturizers. This liquid mineral tint offers a sun-kissed 
glow while gently blending and softening the appearance of blemishes and
 imperfections. Skin looks healthy, fresh, even-toned and radiant.Features: A
 soothing combination of olive oil, beeswax and mineral pigments nourish
 and bring color to the skin for a sheer, sun-kissed appearanceAnthyllis and witch hazel tone and firm skinCan be blended with body moisturizers and sunscreens to add or even colorUsed as directed, Translucent Bronzing Tint lasts approximately 4-5 monthsFormerly known as Translucent Bronze ConcentrateIngredients: Water (Aqua), Olea Europaea (Olive) Fruit Oil, Alcohol, Anthyllis 
Vulneraria Extract, Hamamelis Virginiana (Witch Hazel) Bark/Leaf 
Extract, Lysolecithin, Beeswax (Cera Alba), Fragrance (Parfum), Citral*,
 Linalool*, Farnesol*, Benzyl Benzoate*, Limonene*, Citronellol*, 
Geraniol*, Benzyl Salicylate*, Coumarin*, Eugenol*, Cetearyl Alcohol, 
Algin, Silica, Arachis Hypogaea (Peanut) Oil, Chlorophyllin-Copper 
Complex (CI 75810), Iron Oxides (CI 77491, CI 77492, CI 77499)*Component of natural essential oilsDr. Hauschka Skin Care has been 100% natural for over 45 years and is 
certified natural by NATRUE, a non-profit, international association 
founded by the pioneers of natural and organic cosmetics. NATRUE 
certification ensures that a product has met the strongest criteria 
available for natural and organic ingredients in cosmetics and is free 
of synthetic preservatives, fragrances, dyes and petroleum derived 
synthetics. ",4.6,,bronzer,['Natural'],2016-10-01T18:35:58.830Z,2017-12-23T21:08:49.348Z,https://makeup-api.herokuapp.com/api/v1/products/483.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/483/original/data?1514063329,[]
2,461,dr. hauschka,Dr. Hauschka Rouge Powder ,31.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/1bc9b62be0eb02ff7d07c2619dee18d1_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/dr-hauschka-rouge-powder_34480.html?cat=328,https://well.ca,"Dr. Hauschka Rouge Powder is made with real silk, rose blossoms and jojoba oil to nurture the skin while contouring and adding a healthy hue to the cheeks.",5.0,,bronzer,"['Organic', 'Natural']",2016-10-01T18:35:20.179Z,2017-12-23T21:08:47.241Z,https://makeup-api.herokuapp.com/api/v1/products/461.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/461/original/data?1514063327,"[{'hex_value': '#EB9E84', 'colour_name': 'Natural Red 02 '}, {'hex_value': '#F3A5A3', 'colour_name': 'Rose 03 '}, {'hex_value': '#E5A78E', 'colour_name': 'Soft Terracotta 04 '}]"
3,375,dr. hauschka,Dr. Hauschka Translucent Face Powder Compact,35.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/85f0104f060f5f6e76dc18f5c8e728e6_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-translucent-face-powder_34481.html,https://well.ca,"Dr. Hauschka Translucent Face Powder Compact contains a nourishing combination of rose, anthyllis, witch hazel, black tea and silk that mattifies the skin and keeps your make-up in place.",,mineral,foundation,[],2016-10-01T18:32:56.992Z,2017-12-23T21:08:32.027Z,https://makeup-api.herokuapp.com/api/v1/products/375.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/375/original/data?1514063311,[]
4,323,dr. hauschka,Dr. Hauschka Foundation,39.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/965ec1b8b64ab44496aa44f6b4a1ea01_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/dr-hauschka-foundation_103110.html,https://well.ca,"Dr. Hauschka Foundation features pomegranate essence, macadamia and coconut oil that preserve the moisture 
content of the skin and offer it protection. Available in five shades, 
the foundation does not cover the skin but instead balances out 
unevenness, giving the complexion a smooth, vibrant look.Features: Truly natural and/or organic cosmetics, certified to NATRUE and/or BDIH standardsFree from synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGVeganDermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditionsIngredients: Water (Aqua), Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil, Anthyllis Vulneraria Extract, Cocos Nucifera (Coconut) Oil, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Punica Granatum Fruit Extract, Prunus Armeniaca (Apricot) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Macadamia Ternifolia Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Euphorbia Cerifera (Candelilla) Wax, Fragrance (Parfum), Limonene*, Linalool*, Geraniol*, Citronellol*, Benzyl Benzoate*, Benzyl Salicylate*, Farnesol*, Coumarin*, Citral*, Eugenol*, Benzyl Alcohol*, Bentonite, Xanthan Gum, Sodium Cetearyl Sulfate, Silica. [May contain (+/-) Mica, Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007)].*from natural essential oils ",4.7,liquid,foundation,"['Vegan', 'Natural']",2016-10-01T18:31:34.008Z,2017-12-23T21:08:20.854Z,https://makeup-api.herokuapp.com/api/v1/products/323.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/323/original/data?1514063300,"[{'hex_value': '#eac9a6', 'colour_name': '01 Macadamia '}, {'hex_value': '#dab394', 'colour_name': '02 Almond '}, {'hex_value': '#d1ae9b', 'colour_name': '03 Chestnut '}, {'hex_value': '#deb386', 'colour_name': '04 Hazelnut '}, {'hex_value': '#ca9576', 'colour_name': '05 Nutmeg '}]"
5,310,dr. hauschka,Dr. Hauschka Eye Shadow ,22.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/0a001646e27fecf93ffd46d731ae0d1f_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/dr-hauschka-eye-shadow_34273.html,https://well.ca,Dr. Hauschka Eyeshadow Solos incorporate the finest mineral pigments with real silk to create make-up that is kind to the delicate skin on your eyes.  Nine gentle tones enhance the natural beauty of your eyes.  Added medicinal plant extracts nurture the sensitive skin around your eyes for added radiance and shine.,5.0,,eyeshadow,['Natural'],2016-10-01T18:31:04.883Z,2017-12-23T21:08:18.676Z,https://makeup-api.herokuapp.com/api/v1/products/310.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/310/original/data?1514063298,"[{'hex_value': '#F8DEEB', 'colour_name': 'Delicate Rose 08 '}, {'hex_value': '#F8C4AA', 'colour_name': 'Golden Earth 02 '}, {'hex_value': '#F7DBB6', 'colour_name': 'Golden Sand 01 '}, {'hex_value': '#F9E6D7', 'colour_name': 'Ivory 09 '}, {'hex_value': '#B8A3C2', 'colour_name': 'Lilac 07 '}, {'hex_value': '#FBCAAA', 'colour_name': 'Peach Blossom 03 '}, {'hex_value': '#BBAF9F', 'colour_name': 'Shady Green 06 '}, {'hex_value': '#A1B4C5', 'colour_name': 'Smoky Blue 05 '}, {'hex_value': '#AB9695', 'colour_name': 'Taupe  04 '}]"
6,290,dr. hauschka,Dr. Hauschka Eye Shadow Palette,43.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/be56826f6ed902203a0616930c4de5ea_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-eye-shadow-palette_34275.html,https://well.ca,"Four matte shades enhance the natural beauty of your eyes, allowing for a combination of elegant looks that take eyes from day to night.  Silk powder offers pH balancing and protective qualities.  Apply eyeshadow to the eyelid using the applicator, starting at the inside corner and working outwards. When using two colours, apply the darker shade to the outer corner and the lighter shade to the inner corner of the eye, or use as a highlighter under the eyebrow arch.Features:Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGDermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditions",4.8,palette,eyeshadow,['Natural'],2016-10-01T18:30:26.832Z,2017-12-26T00:33:00.261Z,https://makeup-api.herokuapp.com/api/v1/products/290.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/290/original/data?1514063295,[]
7,233,dr. hauschka,Dr. Hauschka Kajal Eyeliner,24.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/62462de8cb4b6d0759b9e4b13bc602ed_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-kajal-eyeliner_34277.html,https://well.ca,"Kajal Eyeliner pencils, highlight and define the beauty of your eyes. Mineral pigments are fused with quince and Japan waxes for smooth, effortless application. Extracts of anthyllis, witch hazel and black tea have a soothing effect on the delicate skin around the eyes.
Features:Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGVegan (Kajal Eyeliner 02-05)Dermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditions

 ",4.4,pencil,eyeliner,[],2016-10-01T18:29:00.524Z,2017-12-23T20:51:31.701Z,https://makeup-api.herokuapp.com/api/v1/products/233.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/233/original/data?1514062291,"[{'hex_value': '#252A30', 'colour_name': 'Black (05) '}, {'hex_value': '#072A4A', 'colour_name': 'Dark Blue (01) '}, {'hex_value': '#34383B', 'colour_name': 'Soft Brown (04) '}, {'hex_value': '#5F6A6E', 'colour_name': 'Soft Grey (02) '}]"
8,186,dr. hauschka,Dr. Hauschka Liquid Eyeliner,30.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/a16a04e59251404056169188139a9137_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-liquid-eyeliner_34272.html,https://well.ca,"The fine brush on the Liquid Eyeliner, available in black, allows for the easy application of a precise and vivid line that is long-lasting and moisturizing to the skin. Eyebright, black tea and neem soothe the delicate skin around the eyes, while rose wax and jojoba oil protect the skin, keeping it silky smooth.Features:Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGDermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditionsIngredients (black): Water (Aqua), Alcohol, Sorbitol, Cetearyl Alcohol, Ricinus Communis (Castor) Seed Oil, Bentonite, Camellia Sinensis Leaf Extract, Melia Azadirachta Leaf Extract, Euphrasia Officinalis Extract, Hydrogenated Jojoba Oil, Xanthan Gum, Beeswax (Cera Alba), Rosa Damascena Flower Wax, Rosa Damascena Flower Oil, Fragrance (Parfum), Citronellol*, Geraniol*, Linalool*, Silica, Lysolecithin, Iron Oxides (CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007).  *component of natural essential oilsIngredients (brown):Water (Aqua), Alcohol, Sorbitol, Cetearyl Alcohol, Ricinus Communis (Castor) Seed Oil, Camellia Sinensis Leaf Extract, Melia Azadirachta Leaf Extract, Bentonite, Euphrasia Officinalis Extract, Hydrogenated Jojoba Oil, Xanthan Gum, Beeswax (Cera Alba), Rosa Damascena Flower Wax, Rosa Damascena Flower Oil, Fragrance (Parfum), Citronellol*, Geraniol*, Linalool*, Maltodextrin, Silica, Lysolecithin, Carmine (CI 75470), Iron Oxides (CI 7749¹, CI 77492, CI 77499).  *component of natural essential oils",4.0,liquid,eyeliner,[],2016-10-01T18:27:57.906Z,2017-12-23T20:51:19.432Z,https://makeup-api.herokuapp.com/api/v1/products/186.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/186/original/data?1514062279,[]
9,99,dr. hauschka,Dr. Hauschka Limited Edition Lipstick Novum,27.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/5876ec738df72b74a0aac649415a452f_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/dr-hauschka-limited-edition_117899.html,https://well.ca,"This Dr. Hauschka Lipstick leaves the lips feeling soft and silky thanks
 to its composition of premium argan oil and beeswax, as well as mineral
 pigments and medicinal plant extracts.  The colour of the slim-liner 
combines with the natural red of the lips to create completely uniquenuances of colour.Ingredients: Ricinus
 Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, 
Rosa Canina Fruit Extract, Lanolin, Beeswax (Cera Alba), Mica, Daucus 
Carota Sativa (Carrot) Root Extract, Argania Spinosa Kernel Oil, 
Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax,
 Rosa Damascena Flower Extract, Anthyllis Vulneraria Extract, Prunus 
Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel 
Oil, Hydrogenated Jojoba Oil, Rosa Damascena Flower Wax, Fragrance 
(Parfum), Linalool*, Benzyl Benzoate*, Farnesol*, Limonene*, Geraniol*, 
Benzyl Salicylate*, Eugenol*, Citronellol*, Benzyl Alcohol*, 
Maltodextrin, Lecithin, Silica, Carmine (CI 75470), Iron Oxides (CI 
77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).  *component of 
natural essential oils",5.0,lipstick,lipstick,"['Organic', 'Natural']",2016-10-01T18:25:36.091Z,2017-12-23T21:08:24.940Z,https://makeup-api.herokuapp.com/api/v1/products/99.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/099/original/data?1514063304,[]
