,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
0,410,wet n wild,Wet n Wild Mega Slicks Lip Balm Stain,3.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/be634f08e36f3a6f18feed1c68065596_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/wet-n-wild-mega-slicks-lip-balm_86420.html,https://well.ca,"Now you can amp up your lips with one stick for a kissable pout in no 
time.To keep you pucker-perfect, these all lip balm stains glide on
 smoothly while conditioning the lips. Enriched with Acai Palm Oil, this
 amazing formula forms a protective shield on the lips to prevent 
feathering. Complete with six great shades and continuous moisture, the 
formula leaves the lips with a unique minty, cooling sensation. No 
matter how long the kiss, this balm will last and last. ",4.2,lip_stain,lipstick,[],2016-10-01T18:34:11.682Z,2017-12-23T21:08:39.765Z,https://makeup-api.herokuapp.com/api/v1/products/410.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/410/original/data?1514063319,"[{'hex_value': '#8E304A', 'colour_name': '124 Lady and the Vamp '}, {'hex_value': '#DF1536', 'colour_name': '125 Red-dy or Not '}, {'hex_value': '#FD86BC', 'colour_name': '127 A Stiff Pink '}, {'hex_value': '#CE5858', 'colour_name': '128 Pinky Promise '}, {'hex_value': '#DE9777', 'colour_name': '129 Nudist Colony '}]"
1,305,wet n wild,Wet n Wild Color Icon Eyeshadow Trio ,4.79,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/07ea2b4f18a9b6e9d174352220462bd8_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/wet-n-wild-color-icon-eyeshadow-trio_89761.html,https://well.ca,"This coordinating trio of shades takes the guesswork out of creating the perfect 
eye look. These ""how to"" palettes are created to highlight, define, and accentuate specific eye colors to create unique looks.",5.0,,eyeshadow,[],2016-10-01T18:30:53.725Z,2017-12-23T21:08:17.940Z,https://makeup-api.herokuapp.com/api/v1/products/305.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/305/original/data?1514063297,[]
2,282,wet n wild,Wet n Wild Color Icon Eye Shadow Collection,4.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/9c602a66c3a2d8492389d48adbf2c7fe_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/wet-n-wild-color-icon-eye-shadow_81697.html,https://well.ca,"Eight dynamic, perfectly color-coordinated shades with high pigment and 
pearl for ultra-impact color. Shades can be used together or 
individually to create an endless variety of looks. ",4.2,palette,eyeshadow,[],2016-10-01T18:30:15.859Z,2017-12-26T00:39:05.163Z,https://makeup-api.herokuapp.com/api/v1/products/282.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/282/original/data?1514063293,[]
3,280,wet n wild,Wet n Wild Color Icon Eyeshadow Single,1.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/7d6da9fa070a3d82c6a8e8fc4c8110c2_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/wet-n-wild-color-icon-eyeshadow_86421.html,https://well.ca,"High-pigmentation and pearl-density create a unique, satiny texture that lasts and lasts. A versatile collection
of classic and trend shades can be easily worn alone or playfully combined for a variety of looks.",4.6,,eyeshadow,[],2016-10-01T18:30:12.412Z,2017-12-23T21:08:13.168Z,https://makeup-api.herokuapp.com/api/v1/products/280.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/280/original/open-uri20171223-4-n17jvz?1514063293,"[{'hex_value': '#E6E5E1', 'colour_name': '250B Sugar '}, {'hex_value': '#D9C4AC', 'colour_name': '251B Brulee '}]"
4,251,wet n wild,Wet n Wild Sharpen Up! Dual Pencil Sharpener,1.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/52cb90513c65303b9ac96b0bb8f5e74c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/wet-n-wild-sharpen-up-dual-pencil_114005.html,https://well.ca,Specially-designed dual pencil sharpener includes razor-sharp blades to keep pencils of all sizes perfectly-shaped.Features:Dual-purpose sharpener for pencils of all sizesRazor-sharp bladesCompact for easy traveling Directions: Insert pencil into appropriate hole depending on size of pencil and twist.,5.0,pencil,eyeliner,[],2016-10-01T18:29:28.262Z,2017-12-23T21:08:05.457Z,https://makeup-api.herokuapp.com/api/v1/products/251.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/251/original/open-uri20171223-4-1ky7y5m?1514063285,[]
5,211,wet n wild,Wet n Wild ProLine Graphic Marker Eyeliner,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/917bddd5782d5f05820f61f0bef8f23e_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/wet-n-wild-proline-graphic-marker_113994.html?cat=324,https://well.ca,"Get graphic with Wet n Wild ProLine Graphic Marker Eyeliner! Draw bold lines with this soft, angled marker tip. This marker liner gives you full control for the quickest, easiest graphic application ever! Features:Create bold graphic looks or thin subtle lines with the angled markerDark, opaque color for bold resultsQuick drying and smudge-freeDirections: Create a variety of lines by adjusting angle of the unique angled marker tip.Ingredients: Water/Eau, Acrylates Copolymer, Laureth-21, Butylene Glycol, PEG-40 Hydrogenated Castor Oil, Glycerin, Propanediol, Propylene Glycol, Chlorphenesin, Dipotassium Glycyrrhizate, Caprylhydroxamic Acid, Trisodium EDTA, Black 2/CI 77266. ",,pencil,eyeliner,[],2016-10-01T18:28:32.635Z,2017-12-23T21:08:09.236Z,https://makeup-api.herokuapp.com/api/v1/products/211.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/211/original/open-uri20171223-4-h1k0kt?1514063289,"[{'hex_value': '#202446', 'colour_name': 'Airliner Blue '}, {'hex_value': '#272830', 'colour_name': 'Jetliner Black '}]"
6,206,wet n wild,Wet n Wild ProLine Felt Tip Eyeliner,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/32cde2248ec2fb43fd0b165521965b3f_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/wet-n-wild-proline-felt-tip-eyeliner_113998.html,https://well.ca,"The ProLine Felt Tip Eyeliner is a convenient marker with its soft, felt-tip gives you ultimate control to write on your eyeliner however you'd like. The fine, soft felt-tip glides on easily creating fine or bold lines. Features:Benefits of a liquid liner with the convenience of a penFine, soft felt-tip glides on easilyCreate fine or bold lines for subtle or dramatic results Directions: Start at the inner corners of your eyes and make small strokes following the shape of your eye. For extra drama, extend and thicken at the outer corner of your eyes.Ingredients: Water/Eau, Acrylates Copolymer, Butylene Glycol, Laureth-21, Glycerin, Propylene Glycol, PEG-40 Hydrogenated Castor Oil, Chlorphenesin, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Trisodium EDTA, Methylisothiazolinone, Black 2/CI 77266.",4.0,liquid,eyeliner,[],2016-10-01T18:28:26.588Z,2017-12-23T20:51:23.126Z,https://makeup-api.herokuapp.com/api/v1/products/206.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/206/original/open-uri20171223-4-16f2vvs?1514062283,"[{'hex_value': '#1C1B19', 'colour_name': 'Black  '}, {'hex_value': '#31241B', 'colour_name': 'Dark Brown  '}]"
7,200,wet n wild,Wet n Wild H2O Proof Liquid Eyeliner,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/8ff7034e32f516c8df2ab96d77535570_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/wet-n-wild-h2o-proof-liquid-eyeliner_113995.html,https://well.ca,"Wet n Wild H2O Proof Liquid Eyeliner provides lasting Waterproof Definition that won't let you down! It's waterproof, smudgeproof, and super long-lasting. Create subtle fine lines to bold dramatic looks with the precise applicator brush.Features:Long-lasting waterproof formula Won’t skip, smudge, or streakSoft, felt-tip brush for precision control and mistake-proof applicationDirections: Start at the inner corners of your eyes and make small strokes following the shape of your eye. For extra drama, extend and thicken at the outer corner of your eyes.Ingredients: Isododecane, Trimethylsiloxysilicate, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer , C11-12 Isoparaffin, Polypropylsilsesquioxane, C8-9 Isoparaffin, Trihydroxystearin, Silica Dimethyl Silylate, Phenoxyethanol, Sorbic Acid, Tocopherol, Black 2/CI 77266.",,liquid,eyeliner,[],2016-10-01T18:28:19.978Z,2017-12-23T20:51:24.483Z,https://makeup-api.herokuapp.com/api/v1/products/200.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/200/original/open-uri20171223-4-7z4bwg?1514062284,"[{'hex_value': '#1B1815', 'colour_name': 'Black  '}, {'hex_value': '#5B4539', 'colour_name': 'Dark Brown  '}]"
8,194,wet n wild,Wet n Wild MegaLiner Liquid Eyeliner,5.49,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/a972397ff3150eab0984483fcd226440_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/wet-n-wild-megaliner-liquid-eyeliner_113997.html,https://well.ca,"Wet n Wild MegaLiner Liquid Eyeliner is formulated with high-definition pigment and a unique blend of polymers for a rich, fluid formula. It dries fast and stays put to subtly enhance or dramatically define the eyes. An easy-to-control, flexible brush gives you precise application.Features:Dries fast and stays put Long-lasting, smudgeproof wear Easy-to-control inkwell applicator Directions: Start at the inner corners of your eyes and make small strokes following the shape of your eye. For extra drama, extend and thicken at the outer corner of your eyes.Ingredients: Water/Eau, Propylene Glycol, PVP, Steareth-2, Stearic Acid, Steareth-21, Sodium Polymethacrylate, Glyceryl Stearate, Laureth-21, Phenoxyethanol, Arginine, Caprylyl Glycol, PEG-40 Hydrogenated Castor Oil, Citric Acid, Ethylhexylglycerin, Hexylene Glycol, Sodium Dehydroacetate, Simethicone, Magnesium Aluminum Silicate, Xanthan Gum, Sodium Citrate, Cellulose Gum, Chlorphenesin, Acrylates Copolymer, PPG-26-Buteth-26, Microcrystalline Cellulose, [+/- (MAY CONTAIN/PEUT CONTENIR): Iron Oxides/CI 77491, CI 77492, CI 77499, Ultramarines/CI 77007, Titanium Dioxide/CI 77891, Mica, Black 2/CI 77266, Carmine/CI 75470, Chromium Oxide Greens/CI 77288, Ferric Ferrocyanide/CI 77510].",,liquid,eyeliner,[],2016-10-01T18:28:11.633Z,2017-12-23T20:51:22.057Z,https://makeup-api.herokuapp.com/api/v1/products/194.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/194/original/data?1514062282,"[{'hex_value': '#1C1B1A', 'colour_name': 'Black '}, {'hex_value': '#7C4C30', 'colour_name': 'Dark Brown '}]"
9,147,wet n wild,Wet n Wild Wild Shine Nail Colour ,1.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/6f53a1fba843dde57271decf3b5c7ad0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/wet-n-wild-wild-shine-nail-colour_114017.html,https://well.ca,"Wet n Wild's claim to fame! This brand was launched in 1979 with this epic nail polish and it is one of their top-sellers. Why? Here’s what we think: not only are they just straight up awesome, but we’ve got every color, texture, and effect that you can possibly think of: creams, metallics, glitters, you name it! After decades of these flying off the shelves, they're pretty sure you already have a couple stashed away, but with so many colors, you can always add a new one – or double up! Everyone we talk to agrees—this is simply the best nail polish brand out there.Features:Purse Pride! New improved formula and packaging!High-shine finish in every color imaginable!3-Free: No Formaldehyde, Toluene, or PhthalatesStill the #1 selling nail polish in the market!Ingredients: Butyl Acetate, Ethyl Acetate, Nitrocellulose, Tosylamide/Epoxy Resin, Acetyl Tributyl Citrate, Isopropyl Alcohol, Triphenyl Phosphate, Stearalkonium Bentonite, Phthalic Anhydride/Trimellitic Anhydride/Glycols Copolymer, Silica, Etocrylene, Diacetone Alcohol, Trimethylpentanediyl Dibenzoate, Alumina, Titanium Dioxide/CI 77891 ",5.0,,nail_polish,[],2016-10-01T18:26:52.938Z,2017-12-23T20:51:08.840Z,https://makeup-api.herokuapp.com/api/v1/products/147.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/147/original/open-uri20171223-4-15noy9x?1514062268,"[{'hex_value': '#017F8D', 'colour_name': 'Be More Pacific  '}, {'hex_value': '#272727', 'colour_name': 'Black Creme '}]"
